x,y,Depth,SST,NPP,DistToCAS,EKE,off.set,LinkID
207984.6181,668253.9925,213.2204,17.3223,1462.3073,8001.1279,8e-04,1e+08,261
217984.6181,668253.9925,302.0213,17.0535,1522.9178,1406.7108,6e-04,1e+08,262
227984.6181,668253.9925,254.6088,16.7736,1571.6891,5253.9966,5e-04,1e+08,263
237984.6181,668253.9925,299.3223,16.4842,1621.9314,3315.3293,8e-04,1e+08,264
247984.6181,668253.9925,209.7609,16.3125,1646.6967,3712.0601,0.0012,1e+08,265
257984.6181,668253.9925,160.0385,16.1717,1578.932,8166.8223,0.0016,1e+08,266
267984.6181,668253.9925,145.545,16.0591,1397.4917,8122.9062,0.0021,1e+08,267
277984.6181,668253.9925,135.9718,15.9345,1290.5364,9692.9814,0.002,1e+08,268
287984.6181,668253.9925,133.9385,15.7779,1356.2351,5372.8003,0.0019,1e+08,269
297984.6181,668253.9925,163.3625,15.6557,1422.9504,4816.083,0.0015,1e+08,270
307984.6181,668253.9925,111.09,15.5552,1411.8157,10387.4219,0.001,1e+08,271
317984.6181,668253.9925,167.4745,15.6863,1335.8678,7150.2793,7e-04,1e+08,272
327984.6181,668253.9925,533.4117,15.8919,1290.8353,1915.2559,5e-04,1e+08,273
337984.6181,668253.9925,799.6528,16.2914,1253.0071,1247.3232,4e-04,1e+08,274
347984.6181,668253.9925,1336.9041,16.7783,1278.4235,1113.0576,3e-04,1e+08,275
357984.6181,668253.9925,1313.0775,17.3431,1388.2562,712.8273,3e-04,1e+08,276
367984.6181,668253.9925,1707.1742,17.7939,1632.0138,549.4202,3e-04,1e+08,277
377984.6181,668253.9925,1949.4019,18.1765,1570.3597,913.2532,5e-04,1e+08,278
387984.6181,668253.9925,2221.2273,18.1742,1554.7594,1137.3314,0.001,1e+08,279
397984.6181,668253.9925,2351.8433,18.1272,1343.7584,1672.9003,0.0014,1e+08,280
407984.6181,668253.9925,2471.9055,18.0006,1316.1063,1153.8959,0.0016,1e+08,281
417984.6181,668253.9925,2502.5715,17.846,1335.1158,152.5844,0.0017,1e+08,282
427984.6181,668253.9925,2517.707,17.67,1280.4551,383.5903,0.0017,1e+08,283
437984.6181,668253.9925,2598.8306,17.505,1224.4094,1292.6237,0.0016,1e+08,284
447984.6181,668253.9925,2468.0256,17.4646,1197.1392,4125.29,0.0021,1e+08,285
457984.6181,668253.9925,2693.2751,17.8562,1127.0437,2506.1323,0.0027,1e+08,286
467984.6181,668253.9925,2758.7219,18.5544,1065.0728,968.6584,0.0021,1e+08,287
477984.6181,668253.9925,1440.6261,19.5455,1034.618,4114.5713,0.001,1e+08,288
487984.6181,668253.9925,2130.1768,20.3765,1027.1879,8472.5107,0.0077,1e+08,289
